TAZ_ID,TOTPOP,HHPOP,GQPOP,HH,HHSIZE,HHINC,HHWRK,HHVEH,HHSTD,SENHH,TOTEMP,EMP_11,EMP_21,EMP_22,EMP_23,EMP_3133,EMP_42,EMP_4445,EMP_4849,EMP_51,EMP_52,EMP_53,EMP_54,EMP_55,EMP_56,EMP_61,EMP_62,EMP_71,EMP_72,EMP_81,EMP_92,TotHouse,VacHouse,Res,Com,Ind,Agr,Vac,TotLand
2240,3504,4903,-1399,1325,3.7,127394,1.18,1.87,0.38,529,2981,0,0,0,23,11,37,235,40,69,371,93,117,23,969,39,435,207,70,218,24,872,1,336,52,0,0,6,770
2241,3463,5383,-1920,1045,5.15,32661,1.37,1.57,0.64,324,291,0,0,0,17,6,0,30,0,3,34,14,9,0,53,36,0,0,10,79,0,836,1,220,15,0,0,11,510
2242,3832,5127,-1295,1483,3.46,48903,1.09,1.5,0.36,593,1125,0,0,0,28,15,141,341,24,15,31,39,8,0,92,27,163,0,53,106,41,980,1,195,90,33,0,6,670
2243,4155,2391,1764,2001,1.19,30824,1.22,1.23,0.33,363,777,0,0,0,20,6,16,46,24,6,32,95,16,3,112,14,204,28,39,106,12,2224,223,37,117,0,0,30,400
2244,3100,5967,-2867,1071,5.57,34712,1.19,1.31,0.56,391,3606,0,0,0,134,36,41,423,61,191,224,104,131,9,1384,31,301,50,101,360,23,656,1,90,111,0,0,19,410
2245,2924,8666,-5742,1089,7.96,34886,1.09,1.31,0.51,330,1145,0,0,10,13,0,23,124,42,15,86,168,58,5,94,29,155,60,83,163,18,1165,75,0,116,0,0,20,370
2246,3075,706,2369,1021,0.69,37845,1.46,1.37,0.6,351,515,0,0,0,32,40,39,55,0,5,40,54,0,0,26,28,60,0,41,95,0,809,1,261,64,1,0,372,1650
2247,2719,1678,1041,909,1.85,59036,1.15,2.02,0.49,438,1034,0,0,0,111,32,281,61,55,12,41,37,29,5,55,31,120,35,17,90,21,560,1,344,13,0,0,145,1000
2248,3461,3398,63,1078,3.15,47350,1.41,1.82,0.64,434,619,0,0,0,35,0,9,75,29,0,47,70,11,0,46,49,90,16,11,113,18,860,1,257,46,0,0,14,680
2249,3557,2886,671,1115,2.59,47843,1.22,1.69,0.63,376,605,0,0,0,64,21,17,33,28,0,0,27,19,0,100,14,112,0,12,143,14,696,1,283,11,0,0,84,780
2250,3127,2895,232,1149,2.52,35489,0.99,1.47,0.6,480,590,0,0,0,22,0,18,0,0,0,0,42,0,0,130,64,94,0,0,220,0,768,1,257,3,0,0,6,620
2251,2668,1173,1495,856,1.37,36935,0.99,1.42,0.76,316,133,0,0,0,15,0,0,0,0,0,0,16,0,0,0,46,0,0,26,29,0,574,1,243,5,0,0,48,640
2252,2615,1097,1518,981,1.12,35330,1.16,1.62,0.55,296,747,0,0,0,13,38,15,135,50,5,17,36,22,4,43,24,158,13,55,63,55,590,1,136,100,31,0,59,660
2253,2399,979,1420,895,1.09,89917,1.3,2.1,0.55,348,363,151,0,0,46,7,10,0,24,0,0,18,16,0,0,37,0,0,0,54,0,457,1,2286,0,0,0,8930,23740
2254,4579,3900,679,1565,2.49,80144,1.25,1.8,0.76,493,803,0,0,0,56,12,31,104,19,14,65,19,43,3,24,48,62,29,62,93,118,946,1,1718,30,1,1504,198,4690
2255,3029,1492,1537,950,1.57,48072,1.51,1.62,0.88,299,438,0,0,0,34,0,13,117,0,0,77,36,0,0,0,0,0,0,104,57,0,460,1,146,23,0,0,4,330
2256,1016,5161,-4145,472,10.93,77992,1.29,2.33,0.49,309,146,0,0,0,20,0,6,22,0,4,0,13,0,0,18,0,21,9,0,32,0,197,1,819,0,0,0,3302,7500
2257,3446,4924,-1478,1041,4.73,52854,1.38,1.94,0.82,301,213,0,0,0,15,0,7,43,0,3,25,0,0,0,36,13,0,14,28,28,0,716,1,473,21,0,1398,1776,5720
2258,3485,4513,-1028,1161,3.89,32529,1.21,1.2,0.72,366,1762,0,0,0,61,5,113,72,69,7,31,30,45,12,72,39,857,14,53,206,74,693,1,130,52,0,0,5,410
2259,3356,4157,-801,1184,3.51,115533,1.52,2.2,0.62,445,973,0,0,0,75,38,32,113,37,0,45,38,86,5,92,19,115,36,94,71,77,614,1,1403,28,0,584,147,3380
2260,3283,6039,-2756,1193,5.06,115260,1.53,2.2,0.63,440,363,0,0,0,37,8,16,32,19,0,12,23,18,0,69,9,32,9,9,60,11,629,1,1082,8,9,16,128,2340
2261,3383,3199,184,1264,2.53,71160,1.2,1.89,0.59,547,1656,353,0,0,157,6,19,47,31,9,32,59,26,9,161,18,313,44,70,176,126,735,1,833,93,1,0,172,2120
2262,2380,9642,-7262,839,11.49,69290,1.2,1.99,0.52,418,979,0,0,0,36,0,22,263,0,28,60,28,15,7,32,35,70,0,87,243,53,464,1,344,43,0,0,94,960
2263,3478,9046,-5568,1538,5.88,58731,1.14,1.59,0.48,379,1348,0,0,0,175,65,71,173,45,40,49,71,35,21,88,36,176,35,74,151,44,1170,1,177,184,24,0,65,920
2264,3050,2939,111,1212,2.42,55135,1.29,1.46,0.48,413,405,0,0,0,32,5,26,26,0,17,13,31,9,0,38,56,97,0,17,38,0,813,1,304,62,0,0,77,890
2265,3280,9768,-6488,1146,8.52,59790,1.58,1.65,0.52,460,1515,0,11,0,146,34,148,128,22,39,112,70,38,0,201,21,74,22,98,324,27,718,1,314,75,29,52,64,1100
2266,1493,29060,-27567,597,48.68,55688,1.5,1.9,0.58,317,6614,0,0,0,191,176,559,1348,308,116,183,180,442,16,787,130,912,77,485,598,106,363,1,3,427,361,21,77,1450
2267,4183,13613,-9430,1612,8.44,63544,1.4,1.8,0.57,372,7402,0,0,0,132,213,356,1174,88,193,929,243,1188,14,507,75,510,132,651,702,295,1094,1,334,415,477,0,1,2180
2268,3313,2593,720,1299,2,88845,1.58,2.24,0.55,436,2812,0,0,0,166,407,209,639,60,43,78,36,151,70,88,28,315,45,123,198,154,692,1,331,97,294,0,14,1410
2269,4467,4324,143,1588,2.72,96494,1.62,2.23,0.59,647,2598,0,18,6,142,20,133,380,64,7,98,63,82,16,108,36,261,88,251,679,146,1007,1,1035,212,6,251,285,3060
2270,3554,32530,-28976,1205,27,53353,1.42,1.94,0.57,304,1521,0,0,0,146,55,128,192,28,7,35,89,52,28,260,13,38,24,85,188,153,685,1,177,219,103,0,132,1080
2271,2220,1510,710,736,2.05,80078,1.25,1.8,0.77,352,383,0,0,0,94,0,9,34,20,0,13,20,39,0,30,10,30,35,0,50,0,367,1,560,241,9,2755,725,6680
