TAZ_ID,TOTPOP,HHPOP,GQPOP,HH,HHSIZE,HHINC,HHWRK,HHVEH,HHSTD,SENHH,TOTEMP,EMP_11,EMP_21,EMP_22,EMP_23,EMP_3133,EMP_42,EMP_4445,EMP_4849,EMP_51,EMP_52,EMP_53,EMP_54,EMP_55,EMP_56,EMP_61,EMP_62,EMP_71,EMP_72,EMP_81,EMP_92,TotHouse,VacHouse,Res,Com,Ind,Agr,Vac,TotLand
1,5708,7985,-2277,1440,5.55,53483,1.19,2.35,0.57,467,158,0,0,0,26,0,0,0,0,0,0,39,0,0,0,19,0,24,0,50,0,387,1,1663,37,0,14063,390,16950
2,5651,5515,136,1273,4.33,53483,1.21,2.35,0.58,446,120,0,0,0,30,0,19,0,0,0,0,0,0,0,0,0,0,0,16,55,0,372,1,2319,2,0,10101,271,13960
3,6883,13113,-6230,1744,7.52,39782,0.99,1.76,0.49,501,2082,0,3,0,60,43,68,286,92,130,185,92,57,11,157,67,214,86,116,220,194,577,1,400,175,86,0,3,980
4,7063,6479,584,1809,3.58,38595,0.96,1.74,0.5,516,2709,0,3,8,120,448,146,620,81,26,100,59,36,9,162,41,395,56,107,211,82,566,1,2379,371,979,7120,48,12820
5,7121,6955,166,1959,3.55,33116,0.87,1.56,0.49,649,2018,0,0,0,149,169,38,697,75,7,56,41,31,7,124,42,244,46,22,156,113,724,1,2097,262,153,5906,179,9840
6,7409,7176,233,1861,3.86,39394,1.18,1.68,0.6,503,5730,0,9,0,88,1745,72,357,89,16,563,155,1234,134,194,58,209,42,153,201,412,602,1,621,85,1110,831,1,3030
7,3442,3550,-108,1153,3.08,57081,1.12,2.36,0.48,478,319,0,0,0,132,0,11,0,39,0,22,0,0,0,55,0,0,17,0,43,0,277,1,1142,18,0,22293,517,25550
8,4204,4032,172,1282,3.15,43555,0.92,2.08,0.5,452,339,0,0,0,35,16,7,31,23,0,13,0,11,4,40,0,48,0,26,51,34,318,1,1701,228,336,14360,310,19690
9,5963,5909,54,1464,4.04,65671,1.55,2.55,0.59,505,485,59,0,0,13,0,12,52,37,3,21,23,9,0,62,34,67,21,21,52,0,394,1,1438,32,0,20972,238,25610
10,6856,13330,-6474,1742,7.65,47759,1.08,1.85,0.5,501,663,0,0,0,29,4,44,110,38,5,21,52,15,0,63,28,87,26,12,100,29,523,1,701,59,42,297,12,1410
11,7289,12624,-5335,1888,6.69,36428,1.15,1.66,0.61,523,3253,0,2,0,122,111,67,695,262,13,256,173,99,10,631,39,302,46,89,251,85,630,1,486,238,24,128,29,1230
12,7041,13447,-6406,1945,6.91,41077,1.01,1.76,0.51,502,2361,0,3,31,71,0,38,141,102,30,126,52,50,14,819,48,171,35,41,166,422,658,1,542,53,12,111,10,1390
13,6978,9894,-2916,1980,5,39671,0.94,1.74,0.49,529,1697,0,3,33,98,102,159,155,63,0,65,110,34,8,212,45,128,31,100,267,86,686,1,925,221,511,960,2,3320
14,6404,5295,1109,1589,3.33,54001,1.18,2.28,0.53,511,338,0,0,0,15,6,9,31,25,0,17,0,15,0,59,20,74,20,12,34,0,454,1,2445,32,2,18794,402,23430
15,7602,14457,-6855,1956,7.39,60954,1.32,2.47,0.55,572,876,183,6,0,39,6,18,103,72,0,32,29,14,0,78,26,120,38,15,69,28,666,1,3793,430,0,28553,200,36090
16,6189,12014,-5825,1430,8.4,42942,1.11,1.94,0.58,453,518,0,0,0,45,0,18,71,40,0,24,21,10,0,74,0,81,0,12,106,17,428,1,2844,250,30,9524,221,13400
17,6106,5293,813,1499,3.53,53483,1.18,2.35,0.57,449,573,271,0,0,83,8,0,0,50,0,0,0,0,0,87,0,0,0,0,74,0,484,1,3056,43,0,23769,192,28430
18,4484,4442,42,1314,3.38,42456,0.92,1.98,0.49,486,427,144,0,0,63,0,0,0,0,0,0,21,16,0,0,13,72,20,22,56,0,326,1,1568,16,0,13693,180,16960
19,6203,5272,931,1527,3.45,73145,1.18,2.58,0.48,478,266,0,0,0,18,8,10,41,31,0,18,8,8,0,0,0,59,19,10,39,0,563,1,4390,136,0,42934,524,50820
20,4011,4093,-82,1153,3.55,66179,1.26,2.31,0.41,456,462,247,0,9,56,0,16,0,0,10,22,23,17,0,0,0,0,0,0,62,0,307,1,1218,1,1,19939,216,22930
21,6026,6089,-63,1512,4.03,55338,1.11,2.06,0.47,503,656,275,0,0,23,0,18,0,0,0,31,0,14,0,82,35,0,41,21,68,48,478,1,1651,15,0,28406,239,31210
22,2863,4237,-1374,1189,3.56,55110,1.12,2.07,0.44,466,286,0,21,0,27,0,0,37,63,0,16,0,10,0,37,0,50,0,0,27,0,273,1,924,146,0,10903,381,13410
23,6138,5768,370,1454,3.97,68271,1.13,2.44,0.47,495,537,78,0,3,24,0,15,59,47,0,26,17,12,3,67,0,88,23,11,47,18,484,1,3568,458,0,29849,226,36870
24,5822,14776,-8954,1521,9.71,49033,1.04,1.92,0.45,511,355,0,0,4,32,0,19,56,30,9,19,9,9,0,57,0,61,0,0,51,0,432,1,2092,27,0,6701,207,9960
25,4902,4847,55,1321,3.67,59225,1.14,2.16,0.41,618,670,117,0,0,88,119,8,35,29,0,21,16,13,0,38,0,75,26,22,62,0,400,1,2146,576,0,24836,236,30020
26,3154,4106,-952,1076,3.82,66179,1.28,2.31,0.41,539,553,366,0,0,0,0,0,0,0,9,0,0,21,0,0,0,0,0,44,63,50,262,1,1326,34,0,6857,115,10580
27,7584,7532,52,2155,3.5,39860,1.07,1.77,0.51,666,2229,0,10,0,134,294,199,122,419,0,46,44,40,10,163,74,283,140,21,159,70,757,1,1129,43,2107,1342,1,5160
28,3588,4463,-875,1229,3.63,43555,0.87,2.08,0.48,467,308,0,0,3,28,4,11,33,28,0,10,20,9,0,37,0,49,0,13,27,35,292,1,272,25,19,82,13,690
29,6176,6014,162,1497,4.02,53483,1.22,2.35,0.59,443,445,0,0,0,39,9,33,67,37,0,0,26,0,0,0,47,94,0,24,69,0,423,1,1720,98,0,5995,209,9020
30,1124,910,214,597,1.52,39183,0.68,1.88,0.34,323,466,105,92,0,22,0,8,102,52,0,0,0,0,0,0,9,0,0,22,26,28,176,1,528,448,0,6457,295,12680
31,848,4451,-3603,320,13.91,47167,0.93,1.89,0.39,377,302,182,0,0,42,0,0,0,0,0,0,0,0,0,0,19,0,0,0,59,0,196,1,1638,53,0,11911,192,23620
32,1898,2441,-543,846,2.89,39183,0.73,1.88,0.37,333,180,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,264,1,767,30,0,2531,1236,17330
33,1093,3128,-2035,506,6.18,39183,0.7,1.88,0.36,319,108,0,0,0,31,0,0,18,19,0,0,0,0,0,0,6,0,0,0,12,22,163,1,685,101,0,8157,359,14750
34,1878,2255,-377,748,3.01,39183,0.73,1.88,0.37,353,130,0,0,0,0,0,11,53,0,6,0,0,0,0,0,0,0,13,0,22,25,292,1,1092,20,0,13669,454,42330
35,2191,1743,448,328,5.31,39183,0.76,1.88,0.39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,1,434,0,0,4770,292,17790
36,429,1318,-889,170,7.75,40400,0.85,1.97,0.32,318,165,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,86,109,1,633,0,0,6902,374,9990
37,1547,11326,-9779,556,20.37,44823,0.93,1.8,0.36,442,626,7,0,0,35,7,15,228,44,7,16,0,14,13,44,15,50,0,22,81,27,340,1,2376,119,0,13334,230,19230
38,1005,653,352,445,1.47,40400,0.81,1.97,0.31,431,237,0,0,0,41,0,8,39,24,8,0,37,0,0,0,0,0,0,24,34,23,594,149,2688,84,0,18942,576,55740
