TAZ_ID,TOTPOP,HHPOP,GQPOP,HH,HHSIZE,HHINC,HHWRK,HHVEH,HHSTD,SENHH,TOTEMP,EMP_11,EMP_21,EMP_22,EMP_23,EMP_3133,EMP_42,EMP_4445,EMP_4849,EMP_51,EMP_52,EMP_53,EMP_54,EMP_55,EMP_56,EMP_61,EMP_62,EMP_71,EMP_72,EMP_81,EMP_92,TotHouse,VacHouse,Res,Com,Ind,Agr,Vac,TotLand
1,4635,6849,-2214,1245,5.5,53483,1.19,2.35,0.57,422,148,0,0,0,28,0,0,0,0,0,0,38,0,0,0,16,0,21,0,44,0,373,1,1606,35,0,14113,400,16950
2,4578,4435,143,1077,4.12,53483,1.21,2.35,0.58,400,110,0,0,0,31,0,17,0,0,0,0,0,0,0,0,0,0,0,16,45,0,363,1,2241,2,0,10168,282,13960
3,5822,12212,-6390,1550,7.88,39782,0.99,1.76,0.49,458,2076,0,2,0,61,46,68,282,85,140,191,96,59,11,142,64,197,84,124,217,205,592,1,397,178,82,0,7,980
4,6003,5388,615,1616,3.33,38595,0.96,1.74,0.5,473,2704,0,2,8,125,481,151,641,71,27,96,58,36,9,139,34,379,47,113,206,83,573,1,2334,376,831,7311,47,12820
5,6062,5887,175,1767,3.33,33116,0.87,1.56,0.49,612,2012,0,0,0,158,182,35,731,66,7,51,40,31,7,104,37,228,40,22,151,118,761,1,2038,257,125,5951,225,9840
6,6353,6108,245,1668,3.66,39394,1.18,1.68,0.6,460,5731,0,8,0,87,1804,68,342,77,16,574,157,1273,137,163,51,180,33,156,186,421,616,1,613,83,941,857,19,3030
7,2648,2751,-103,956,2.88,57081,1.12,2.36,0.48,434,309,0,0,0,147,0,10,0,32,0,20,0,0,0,46,0,0,14,0,40,0,257,1,1098,17,0,22333,523,25550
8,3234,3053,181,1086,2.81,43555,0.92,2.08,0.5,406,329,0,0,0,41,20,6,26,20,0,11,0,11,4,32,0,37,0,31,54,37,299,1,1642,227,292,14444,331,19690
9,4893,4836,57,1269,3.81,65671,1.55,2.55,0.59,462,476,79,0,0,14,0,11,46,35,3,18,21,9,0,54,37,52,18,26,53,0,380,1,1393,30,0,21022,234,25610
10,5794,12430,-6636,1548,8.03,47759,1.08,1.85,0.5,458,654,0,0,0,32,4,49,112,33,5,18,62,16,0,49,26,73,23,13,108,30,525,1,693,58,40,307,13,1410
11,6232,11660,-5428,1695,6.88,36428,1.15,1.66,0.61,481,3249,0,1,0,125,116,65,711,263,13,260,179,102,10,636,32,277,37,92,245,85,649,1,477,238,21,130,39,1230
12,5981,12556,-6575,1753,7.16,41077,1.01,1.76,0.51,459,2356,0,2,32,72,0,35,124,95,31,126,52,51,14,853,42,149,28,42,161,447,682,1,536,52,11,114,15,1390
13,5918,8779,-2861,1788,4.91,39671,0.94,1.74,0.49,487,1690,0,2,35,103,111,168,143,55,0,67,118,34,8,196,39,116,27,108,270,89,713,1,904,220,433,973,90,3320
14,5338,4171,1167,1395,2.99,54001,1.18,2.28,0.53,468,328,0,0,0,18,7,9,26,23,0,16,0,18,0,54,24,68,19,15,31,0,446,1,2363,30,2,18872,409,23430
15,6548,13488,-6940,1764,7.65,60954,1.32,2.47,0.55,532,867,226,7,0,44,7,16,99,70,0,28,26,14,0,62,23,101,34,16,65,30,688,1,3686,433,0,28632,226,36090
16,5121,11102,-5981,1235,8.99,42942,1.11,1.94,0.58,407,509,0,0,0,54,0,17,67,37,0,21,23,10,0,64,0,68,0,13,117,17,422,1,2756,249,26,9608,230,13400
17,5037,4181,856,1304,3.21,53483,1.18,2.35,0.57,403,564,298,0,0,88,8,0,0,41,0,0,0,0,0,66,0,0,0,0,64,0,487,1,2966,43,0,23856,195,28430
