TAZ_ID,TOTPOP,HHPOP,GQPOP,HH,HHSIZE,HHINC,HHWRK,HHVEH,HHSTD,SENHH,TOTEMP,EMP_11,EMP_21,EMP_22,EMP_23,EMP_3133,EMP_42,EMP_4445,EMP_4849,EMP_51,EMP_52,EMP_53,EMP_54,EMP_55,EMP_56,EMP_61,EMP_62,EMP_71,EMP_72,EMP_81,EMP_92,TotHouse,VacHouse,Res,Com,Ind,Agr,Vac,TotLand
1,3656,5795,-2139,1060,5.47,53483,1.19,2.35,0.57,386,138,0,0,0,30,0,0,0,0,0,0,36,0,0,0,14,0,19,0,39,0,365,1,1549,33,0,14157,415,16950
2,3606,3456,150,892,3.87,53483,1.21,2.35,0.58,363,100,0,0,0,32,0,16,0,0,0,0,0,0,0,0,0,0,0,15,37,0,361,1,2162,2,0,10228,302,13960
3,4881,11442,-6561,1367,8.37,39782,0.99,1.76,0.49,424,2070,0,2,0,61,48,68,279,80,149,197,100,60,11,130,60,184,83,130,215,214,621,1,391,179,76,0,18,980
4,5044,4397,647,1433,3.07,38595,0.96,1.74,0.5,440,2699,0,2,7,129,511,156,661,63,28,92,56,35,9,119,28,364,39,117,202,83,592,1,2283,379,693,7477,67,12820
5,5118,4934,184,1585,3.11,33116,0.87,1.56,0.49,585,2006,0,0,0,166,194,33,764,59,7,47,40,30,7,87,32,216,35,21,147,122,821,1,1977,251,101,5980,286,9840
6,5413,5155,258,1486,3.47,39394,1.18,1.68,0.6,426,5733,0,8,0,85,1855,65,329,67,15,583,158,1306,140,137,44,156,26,157,172,428,648,1,616,85,897,914,1,3030
7,2037,2135,-98,770,2.77,57081,1.12,2.36,0.48,399,300,0,0,0,160,0,8,0,26,0,18,0,0,0,37,0,0,12,0,38,0,242,1,1053,16,0,22367,535,25550
8,2488,2297,191,901,2.55,43555,0.92,2.08,0.5,370,320,0,0,0,46,23,5,22,16,0,9,0,10,4,24,0,28,0,35,57,41,285,1,1582,226,252,14513,363,19690
9,3918,3858,60,1085,3.56,65671,1.55,2.55,0.59,428,467,102,0,0,14,0,10,39,34,3,15,18,9,0,45,41,36,15,31,54,0,372,1,1349,28,0,21071,231,25610
10,4847,11653,-6806,1365,8.54,47759,1.08,1.85,0.5,424,645,0,0,0,35,4,55,114,28,5,14,73,16,0,36,24,59,20,13,118,30,537,1,684,57,38,316,17,1410
11,5282,10810,-5528,1513,7.14,36428,1.15,1.66,0.61,448,3246,0,1,0,127,121,63,726,265,13,264,184,104,10,641,26,255,29,94,239,84,683,1,468,237,18,132,50,1230
12,5040,11795,-6755,1571,7.51,41077,1.01,1.76,0.51,425,2351,0,2,33,72,0,32,108,90,32,126,52,51,14,885,36,131,22,41,157,468,723,1,528,51,10,117,22,1390
13,4995,7804,-2809,1607,4.86,39671,0.94,1.74,0.49,454,1683,0,2,37,107,119,177,132,49,0,69,125,34,8,181,34,107,24,114,273,91,765,1,909,232,439,1039,1,3320
14,4371,3143,1228,1211,2.6,54001,1.18,2.28,0.53,434,319,0,0,0,20,8,9,22,20,0,15,0,22,0,49,29,62,18,17,28,0,445,1,2282,28,2,18945,420,23430
15,5589,12623,-7034,1582,7.98,60954,1.32,2.47,0.55,501,859,272,9,0,49,8,14,95,69,0,24,22,14,0,45,20,81,30,16,60,30,727,1,3585,437,0,28766,189,36090
16,4160,10302,-6142,1050,9.81,42942,1.11,1.94,0.58,371,500,0,0,0,64,0,17,63,34,0,19,25,10,0,54,0,55,0,13,130,15,425,1,2667,247,23,9685,247,13400
17,4063,3162,901,1120,2.82,53483,1.18,2.35,0.57,366,555,322,0,0,91,8,0,0,32,0,0,0,0,0,48,0,0,0,0,54,0,502,1,2877,43,0,23952,188,28430
18,2653,2607,46,933,2.79,42456,0.92,1.98,0.49,407,409,174,0,0,68,0,0,0,0,0,0,20,13,0,0,9,44,13,22,46,0,293,1,1472,14,0,13792,177,16960
19,4170,3138,1032,1148,2.73,73145,1.18,2.58,0.48,399,246,0,0,0,26,13,9,31,30,0,14,8,8,0,0,0,38,17,14,39,0,619,1,4081,128,0,43243,532,50820
20,2373,2447,-74,794,3.08,66179,1.26,2.31,0.41,375,444,271,0,7,54,0,10,0,0,9,14,20,13,0,0,0,0,0,0,46,0,283,1,1138,1,1,20018,217,22930
21,4038,4095,-57,1134,3.61,55338,1.11,2.06,0.47,426,638,345,0,0,20,0,12,0,0,0,21,0,11,0,47,28,0,32,21,52,49,491,1,1550,13,0,28511,238,31210
