TAZ_ID,TOTPOP,HHPOP,GQPOP,HH,HHSIZE,HHINC,HHWRK,HHVEH,HHSTD,SENHH,TOTEMP,EMP_11,EMP_21,EMP_22,EMP_23,EMP_3133,EMP_42,EMP_4445,EMP_4849,EMP_51,EMP_52,EMP_53,EMP_54,EMP_55,EMP_56,EMP_61,EMP_62,EMP_71,EMP_72,EMP_81,EMP_92,TotHouse,VacHouse,Res,Com,Ind,Agr,Vac,TotLand
1,1664,3524,-1860,591,5.96,53483,1.19,2.35,0.57,311,108,0,0,0,31,0,0,0,0,0,0,32,0,0,0,7,0,12,0,26,0,400,1,1378,27,0,14218,531,16950
2,1727,1552,175,555,2.8,53483,1.21,2.35,0.58,290,70,0,0,0,31,0,13,0,0,0,0,0,0,0,0,0,0,0,8,18,0,436,1,1951,2,0,10337,405,13960
3,2804,9993,-7189,903,11.07,39782,0.99,1.76,0.49,342,2052,0,2,0,57,52,67,272,69,167,212,108,59,9,107,53,159,82,137,210,230,883,1,367,176,52,0,69,980
4,2860,2105,755,953,2.21,38595,0.96,1.74,0.5,360,2687,0,2,4,135,586,168,714,44,28,82,52,31,7,72,14,332,20,123,194,79,782,1,2106,379,367,7822,225,12820
5,3105,2890,215,1162,2.49,33116,0.87,1.56,0.49,536,1988,0,0,0,179,222,27,843,43,4,39,39,25,4,49,21,191,24,12,142,125,1173,12,1793,230,50,5975,548,9840
6,3376,3075,301,1037,2.97,39394,1.18,1.68,0.6,345,5739,0,8,0,78,1974,58,301,47,12,608,162,1382,146,77,31,107,12,156,141,440,915,1,606,85,633,1050,4,3030
7,927,1012,-85,352,2.88,57081,1.12,2.36,0.48,294,273,0,0,0,186,0,4,0,10,0,15,0,0,0,17,0,0,7,0,34,0,239,1,921,13,0,22372,666,25550
8,1132,909,223,434,2.09,43555,0.92,2.08,0.5,261,293,0,0,0,59,32,4,12,7,0,4,0,5,3,5,0,5,0,41,71,47,288,1,1393,221,153,14557,612,19690
9,1802,1733,69,597,2.9,65671,1.55,2.55,0.59,327,440,171,0,0,10,0,7,18,30,3,9,10,4,0,17,52,4,6,39,60,0,407,1,1213,22,0,21120,322,25610
10,2775,10145,-7370,907,11.19,47759,1.08,1.85,0.5,342,618,0,0,0,40,4,71,119,14,5,5,104,14,0,5,18,22,14,6,148,29,684,1,647,53,29,337,46,1410
11,3176,9058,-5882,1050,8.63,36428,1.15,1.66,0.61,370,3237,0,1,0,129,131,59,765,272,11,276,198,106,7,656,14,204,11,93,227,78,976,1,438,230,11,135,91,1230
12,2965,10363,-7398,1109,9.34,41077,1.01,1.76,0.51,343,2336,0,2,34,68,0,24,72,78,32,129,51,48,13,964,25,94,9,33,151,509,1059,1,499,45,7,123,52,1390
13,2973,5751,-2778,1149,5.01,39671,0.94,1.74,0.49,376,1662,0,2,40,113,137,198,105,35,0,76,143,30,6,152,21,91,19,124,279,91,1149,1,846,230,259,1077,201,3320
14,2171,738,1433,729,1.01,54001,1.18,2.28,0.53,333,292,0,0,0,23,11,11,10,14,0,13,0,30,0,32,50,41,17,18,22,0,519,1,2039,22,2,19073,539,23430
15,3397,10698,-7301,1105,9.68,60954,1.32,2.47,0.55,430,835,408,15,0,61,9,7,85,68,0,11,14,12,0,5,14,21,18,10,48,29,1054,1,3282,449,0,28965,280,36090
16,2187,8789,-6602,672,13.08,42942,1.11,1.94,0.58,299,473,0,0,0,91,0,17,54,26,0,13,31,6,0,24,0,16,0,7,180,7,524,1,2416,240,15,9835,364,13400
17,2020,970,1050,730,1.33,53483,1.18,2.35,0.57,294,528,373,0,0,94,6,0,0,14,0,0,0,0,0,8,0,0,0,0,34,0,680,1,2629,43,0,24138,251,28430
