TAZ_ID,TOTPOP,HHPOP,GQPOP,HH,HHSIZE,HHINC,HHWRK,HHVEH,HHSTD,SENHH,TOTEMP,EMP_11,EMP_21,EMP_22,EMP_23,EMP_3133,EMP_42,EMP_4445,EMP_4849,EMP_51,EMP_52,EMP_53,EMP_54,EMP_55,EMP_56,EMP_61,EMP_62,EMP_71,EMP_72,EMP_81,EMP_92,TotHouse,VacHouse,Res,Com,Ind,Agr,Vac,TotLand
1,1202,1197.8,4.204,449,2.668,53483,1.19,2.35,0.57,131.4,45,0.004,0.004,0.004,13.2,0.004,0.004,0.004,0.004,0.004,0.004,13.2,0.004,0.004,0.004,3.2,0.004,4.6,0.004,10.8,0.004,423.8,11.4,1302.478846,24.49059998,0.004,14184.02219,643.0749076,16950
2,1381.2,1378.8,2.404,497.4,2.774,53483,1.21,2.35,0.58,186.2,30,0.004,0.004,0.004,13.8,0.004,5.6,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,3.2,7.4,0.004,482.2,15,1871.89009,1.779407761,0.004,10350.35217,470.6041862,13960
3,2286.8,2273.4,13.4,814,2.79,39782,0.99,1.76,0.49,272.8,2068.6,0.004,1,0.004,42.8,40,49.6,204.4,129,127.2,160.8,81.8,44.8,6.6,79.4,39.8,118,61,269.4,159.4,453.6,881.2,67.2,356.8082575,171.6418327,41.59869256,0.004,94.52332866,980
4,2275.6,2169.2,106.4,836.4,2.592,38595,0.96,1.74,0.5,288.2,2800,0.004,1,2.6,84.6,965.2,273.4,447.2,65.8,17,50.8,31.6,19.8,4.6,43.6,8.4,524.4,12,77.2,120.8,49.4,785.6,20.6,2019.00457,371.5275064,255.2140086,7842.529335,411.5706589,12820
5,3074.4,2984.4,90,1168.4,2.552,33116,0.87,1.56,0.49,555,1972.6,0.004,0.004,0.004,121,462,19.6,665.6,33.4,2.6,29.2,29,19.8,2.6,35.4,15.8,147.6,17.2,8.4,109.6,253.2,1130.4,32.2,1726.475085,218.8318748,35.06088543,5931.6836,683.8748981,9840
6,3157.6,2831.4,326.2,994.2,2.844,39394,1.18,1.68,0.6,197.6,6438.2,0.004,5,0.004,48.8,3303,36.8,191.4,71.4,7.6,385.2,223.8,879.2,228.8,46.2,19.4,66.6,6.8,98.8,88.4,731.6,919.6,18.2,587.9789847,79.45166868,438.6992685,1056.513975,215.4166816,3030
7,665.4,664.8,0.604,253,2.63,57081,1.12,2.36,0.48,125,96,0.004,0.004,0.004,65.6,0.004,1.6,0.004,3.2,0.004,5.6,0.004,0.004,0.004,6.4,0.004,0.004,2.6,0.004,11.6,0.004,256.6,12.6,866.1649667,11.46852614,0.004,22272.62959,821.4590364,25550
8,813,812.4,0.604,311.6,2.604,43555,0.92,2.08,0.5,127.4,171,0.004,0.004,0.004,35,19.4,2.6,6.2,4.2,0.004,1.6,0.004,1.6,1.6,1.6,0.004,1.6,0.004,24.6,42.2,28.8,306,12.2,1309.629468,218.1252613,115.0453749,14467.06642,827.6967956,19690
9,1293.6,1217.8,75.8,429.2,2.834,65671,1.55,2.55,0.59,190.2,241,96.8,0.004,0.004,5.8,0.004,3.6,9,16.2,1.6,5.2,5.8,1.6,0.004,7.4,29.4,1.6,3.2,21.6,33.4,0.004,436.4,21.8,1142.337153,19.45967971,0.004,20838.64482,676.4051777,25610
10,2281.2,2278.2,3.004,842,2.704,47759,1.08,1.85,0.5,272.8,359,0.004,0.004,0.004,23.6,2.6,42.2,71.2,8.4,3.6,1.6,61.8,8.8,0.004,1.6,10.8,7.4,8.2,3.2,88,17.8,778.6,24.6,632.5213743,50.28246028,23.85409357,343.5710727,61.39409462,1410
11,3066.6,3050.2,16.4,991,3.076,36428,1.15,1.66,0.61,296.2,3455.8,0.004,1,0.004,197.4,290.4,49.2,640.8,592.4,8.6,230.2,165.2,89.2,5.6,549,10.4,165.8,8.4,199.4,188.4,64.4,971.6,38.2,426.8891617,225.5554564,8.377793106,136.0594468,109.6730596,1230
12,2941,2938.6,2.404,1070.8,2.74,41077,1.01,1.76,0.51,273.8,2419.6,0.004,1,17.6,34.8,0.004,12.2,37.4,39.8,16.6,65.6,25,24.8,6.6,1296.2,12.8,48.8,4.2,17.4,77.2,681.6,1062.6,39.4,489.2148162,42.1813354,5.658208355,124.6578291,63.25763207,1390
13,3068,3035.2,32.8,1126.6,2.694,39671,0.94,1.74,0.49,307.6,1636.2,0.004,1,31,236.4,281,147.2,79.8,62.6,0.004,59.4,112.2,22.8,4.6,115.6,15.8,69.2,14,96,216.8,70.8,1118.4,43.4,818.8498175,224.3050624,186.5762248,1075.942795,307.7184398,3320
14,1657.6,1654,3.604,597.2,2.774,54001,1.18,2.28,0.53,206.6,103,0.004,0.004,0.004,8.6,4,4,2.6,5.2,0.004,4,0.004,11,0.004,10.8,17,15,6.6,6.6,7.6,0.004,562.4,15,1936.681093,19.56814461,1.810452887,19029.10158,687.9056799,23430
15,2774,2753.6,20.4,1018,2.702,60954,1.32,2.47,0.55,357.4,584.4,296.2,10.4,0.004,44,6,4.2,59.4,47.6,0.004,5.8,9.2,8.8,0.004,1.6,9.2,9,12.4,6.8,32.4,21.4,998.4,39,3134.329126,445.0115105,0.004,28428.73165,968.4045531,36090
16,1792,1789,3.004,620.6,2.884,42942,1.11,1.94,0.58,245.4,217,0.004,0.004,0.004,43.2,0.004,8.6,26,12.8,0.004,6.2,14.4,2.6,0.004,8.4,0.004,4.2,0.004,2.6,86.4,1.6,581.2,14.6,2323.886217,235.868271,12.30820677,9853.033148,446.6847121,13400
17,1850,1849.4,0.604,699,2.644,53483,1.18,2.35,0.57,245.4,354,253.6,0.004,0.004,63.8,3.6,0.004,0.004,8.4,0.004,0.004,0.004,0.004,0.004,3.2,0.004,0.004,0.004,0.004,22,0.004,673,22.6,2527.400577,41.81456845,0.004,23808.44121,682.5409331,28430
18,867,864,3.004,329.4,2.624,42456,0.92,1.98,0.49,142.4,184,101,0.004,0.004,34.2,0.004,0.004,0.004,0.004,0.004,0.004,8,3.2,0.004,0.004,2.6,7.4,2.6,6.8,18.2,0.004,313.2,9,1242.681885,9.65541537,0.004,13649.54287,552.8282753,16960
19,2408,2406.8,1.204,864.4,2.782,73145,1.18,2.58,0.48,332,89,0.004,0.004,0.004,16.4,9.4,3.6,5.2,12.6,0.004,4.2,4,1.6,0.004,0.004,0.004,1.6,6.2,6.2,18.6,0.004,825.2,24.2,3533.570494,110.4637206,0.004,42990.96327,1350.018257,50820
20,808.4,805.4,3.004,324.8,2.478,66179,1.26,2.31,0.41,142.4,275,200.8,0.004,2.6,32.4,0.004,1.6,0.004,0.004,3.6,3.6,12.6,1.6,0.004,0.004,0.004,0.004,0.004,0.004,16.8,0.004,337.6,19,975.7337268,0.983875593,0.842290574,19992.18301,406.1370208,22930
21,1740.6,1738.2,2.404,668.4,2.6,55338,1.11,2.06,0.47,280.8,405,293.4,0.004,0.004,7.8,0.004,1.6,0.004,0.004,0.004,6.8,0.004,1.6,0.004,3.2,12.2,0.004,15.2,8.8,24,30.4,648.6,23.4,1358.382991,8.676140937,0.004,28490.28182,456.22925,31210
22,553.4,551,2.404,293.2,2.008,55110,1.12,2.07,0.44,114,98,0.004,22.4,0.004,18.8,0.004,0.004,1.6,43.6,0.004,1.6,0.004,1.6,0.004,1.6,0.004,1.6,0.004,0.004,5.8,0.004,224.4,10.2,718.7266945,131.9978791,0.004,11157.98714,346.309657,13410
23,1888.2,1865,23.2,738,2.526,68271,1.13,2.44,0.47,306.2,218,93.2,0.004,1.6,16,0.004,3.6,4.2,20,0.004,9.2,11.8,6.2,1.6,9.4,0.004,17.8,4.2,1.6,15.4,1.6,701.2,20.2,2949.864882,491.2630485,0.004,29814.06746,845.9123862,36870
24,1371,1368,3.004,558,2.454,49033,1.04,1.92,0.45,281.8,126,0.004,0.004,2.6,31.8,0.004,11,8.4,8.2,9.4,4.6,4,1.6,0.004,12,0.004,1.6,0.004,0.004,30.8,0.004,534.8,14.2,1700.259877,17.64982828,0.004,6993.098396,317.419606,9960
25,1303.8,1301.4,2.404,528.4,2.464,59225,1.14,2.16,0.41,260.4,535.4,154.6,0.004,0.004,100.6,159.6,1.6,1.6,3.2,0.004,1.6,12.6,1.6,0.004,1.6,0.004,4.8,22,12.4,58.2,0.004,506.8,16.2,1749.488431,671.9640829,0.004,24771.37432,600.1772697,30020
26,609.4,601.8,7.6,250,2.41,66179,1.28,2.31,0.41,121,302,245.6,0.004,0.004,0.004,0.004,0.004,0.004,0.004,2.6,0.004,0.004,4.8,0.004,0.004,0.004,0.004,0.004,18.8,11.6,18,241.4,8.2,1066.495859,27.70515753,0.004,6937.627105,299.4820552,10580
27,3727.8,3653.2,74.6,1338.2,2.728,39860,1.07,1.77,0.51,561,2231.6,0.004,7,0.004,238.6,571.8,135.4,25.2,754.4,0.004,21,25,20.8,3.6,41.2,34.8,147,91.8,4.8,71.8,38,1308.8,39.4,1072.943776,37.31836209,1069.671841,1705.067079,75.61051926,5160
28,693.4,691,2.404,285.6,2.424,43555,0.87,2.08,0.48,109,104,0.004,0.004,1.6,22.4,3,6,5.8,2.6,0.004,1.6,11.4,1.6,0.004,1.6,0.004,4.2,0.004,6.2,7.6,29,282.4,11.8,233.7049332,18.6578868,12.84287706,92.45936329,52.21929527,690
29,1546.6,1544.2,2.404,562,2.75,53483,1.22,2.35,0.59,179.2,157,0.004,0.004,0.004,24.4,5,20.8,15.4,1.6,0.004,0.004,5.2,0.004,0.004,0.004,27.8,15.2,0.004,12.6,29,0.004,523.8,12.2,1406.343418,79.3294216,0.004,6290.123274,241.1894458,9020
30,275.4,274.8,0.604,186,1.602,39183,0.68,1.88,0.34,64.2,428,123,114.4,0.004,3.2,0.004,2,102,51.2,0.004,0.004,0.004,0.004,0.004,0.004,3,0.004,0.004,7.4,18.6,3.2,134,5,412.4391133,446.566342,0.004,5997.914163,869.2472874,12680
31,631,627.4,3.604,276.8,2.268,47167,0.93,1.89,0.39,151.8,117,88,0.004,0.004,11.4,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,1.6,0.004,0.004,0.004,16,0.004,315.4,38.6,1417.418074,52.81507812,0.004,11573.44146,750.2413941,23620
32,422,422,0.004,260,1.734,39183,0.73,1.88,0.37,88.6,58,0.004,0.004,0.004,6.4,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,51.6,295.6,47,575.1005098,23.47155348,0.004,2268.807778,1695.617732,17330
