TAZ_ID,TOTPOP,HHPOP,GQPOP,HH,HHSIZE,HHINC,HHWRK,HHVEH,HHSTD,SENHH,TOTEMP,EMP_11,EMP_21,EMP_22,EMP_23,EMP_3133,EMP_42,EMP_4445,EMP_4849,EMP_51,EMP_52,EMP_53,EMP_54,EMP_55,EMP_56,EMP_61,EMP_62,EMP_71,EMP_72,EMP_81,EMP_92,TotHouse,VacHouse,Res,Com,Ind,Agr,Vac,TotLand
3176,2119,1858,261,622,2.99,173206,1.16,2.36,0.74,466,1115,0,0,0,26,8,13,102,11,7,170,33,134,27,76,11,264,80,88,52,15,632,10,0,0,0,0,0,1840
3177,3909,3909,0,1279,3.06,94788,1.37,2.2,0.8,184,709,7,0,6,66,21,22,38,7,7,1,13,67,0,64,26,155,16,78,39,76,1160,1,0,0,0,0,0,5460
3178,2233,2233,0,804,2.78,90990,1.19,2.22,0.58,197,230,30,0,0,31,8,15,32,3,3,0,7,21,0,12,0,1,16,7,45,0,887,83,0,0,0,0,0,18210
3179,2932,2932,0,1032,2.84,89986,1.2,2.21,0.53,208,191,28,0,0,37,0,5,10,5,3,4,3,12,0,15,0,0,3,0,27,39,1102,70,0,0,0,0,0,21430
3180,3403,3403,0,1071,3.18,179399,1.47,2.29,0.86,178,217,0,0,0,1,3,10,5,14,7,4,11,17,1,34,10,5,0,78,9,7,1001,1,0,0,0,0,0,2490
3181,3150,3150,0,999,3.15,181894,1.55,2.26,0.88,130,83,0,0,0,4,1,10,1,2,5,4,15,10,1,2,1,4,5,0,17,0,973,1,0,0,0,0,0,2000
3182,3470,3470,0,1567,2.21,122596,1.09,1.91,0.43,160,19202,0,0,3,154,10,596,2425,32,659,5092,1077,2281,771,1521,39,1509,981,1709,298,45,1764,198,0,0,0,0,0,1380
3183,3347,3338,9,1144,2.92,95044,1.32,1.73,0.57,276,293,12,0,0,0,1,7,6,1,4,4,4,22,0,149,6,9,20,9,39,0,1382,238,0,0,0,0,0,10370
3184,3103,3095,8,1143,2.71,73269,1.16,1.6,0.5,219,138,3,0,0,5,15,1,0,6,3,8,3,6,0,4,20,0,47,0,12,4,1185,41,0,0,0,0,0,820
3185,2708,2708,0,1003,2.7,76581,1.31,2.19,0.54,306,625,15,0,0,63,23,32,2,17,6,67,19,14,0,20,17,27,3,3,57,238,1164,161,0,0,0,0,0,20120
3186,1893,1893,0,695,2.72,97860,1.32,1.99,0.6,214,837,0,0,6,21,240,40,31,7,27,0,26,186,0,21,10,55,42,46,78,0,706,11,0,0,0,0,0,1090
